Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross income,Rating,Hour,Minute,Part_of_Day,Day_of_Week
750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,Ewallet,522.83,26.1415,9.1,13,8,Afternoon,Saturday
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,Cash,76.4,3.82,9.6,10,29,Morning,Friday
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,Credit card,324.31,16.2155,7.4,13,23,Afternoon,Sunday
123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,Ewallet,465.76,23.288,8.4,20,33,Evening,Sunday
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,Ewallet,604.17,30.2085,5.3,10,37,Morning,Friday
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,Ewallet,597.73,29.8865,4.1,18,30,Evening,Monday
355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,Ewallet,413.04,20.652,5.8,14,36,Afternoon,Monday
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,Ewallet,735.6,36.78,8.0,11,38,Morning,Sunday
665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,Credit card,72.52,3.626,7.2,17,15,Evening,Thursday
692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,Credit card,164.52,8.226,5.9,13,27,Afternoon,Wednesday
351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,Ewallet,57.92,2.896,4.5,18,7,Evening,Wednesday
529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,Cash,102.04,5.102,6.8,17,3,Evening,Saturday
365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,Ewallet,234.75,11.7375,7.1,10,25,Morning,Tuesday
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,Ewallet,431.9,21.595,8.2,16,48,Afternoon,Thursday
829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,Cash,713.8,35.69,5.7,19,21,Evening,Friday
299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,Cash,562.32,28.116,4.5,16,19,Afternoon,Tuesday
656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,Credit card,482.51,24.1255,4.6,11,3,Morning,Monday
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,Credit card,435.66,21.783,6.9,10,39,Morning,Tuesday
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,Credit card,164.01,8.2005,8.6,18,0,Evening,Monday
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,Ewallet,80.6,4.03,4.4,15,30,Afternoon,Monday
